,Date,Open,Close
0,2010-06-29,1.266667,1.592667
1,2010-06-30,1.719333,1.588667
2,2010-07-01,1.666667,1.464
3,2010-07-02,1.533333,1.28
4,2010-07-06,1.333333,1.074
5,2010-07-07,1.093333,1.053333
6,2010-07-08,1.076,1.164
7,2010-07-09,1.172,1.16
8,2010-07-12,1.196667,1.136667
9,2010-07-13,1.159333,1.209333
10,2010-07-14,1.196,1.322667
11,2010-07-15,1.329333,1.326
12,2010-07-16,1.38,1.376
13,2010-07-19,1.424667,1.460667
14,2010-07-20,1.456667,1.353333
15,2010-07-21,1.377333,1.348
16,2010-07-22,1.366667,1.4
17,2010-07-23,1.412667,1.419333
18,2010-07-26,1.433333,1.396667
19,2010-07-27,1.394,1.37
20,2010-07-28,1.37,1.381333
21,2010-07-29,1.384667,1.356667
22,2010-07-30,1.346667,1.329333
23,2010-08-02,1.366667,1.394667
24,2010-08-03,1.4,1.463333
25,2010-08-04,1.463333,1.417333
26,2010-08-05,1.436,1.363333
27,2010-08-06,1.34,1.306
28,2010-08-09,1.326667,1.306667
29,2010-08-10,1.31,1.268667
30,2010-08-11,1.246,1.193333
31,2010-08-12,1.186667,1.173333
32,2010-08-13,1.212,1.221333
33,2010-08-16,1.23,1.252
34,2010-08-17,1.264,1.276667
35,2010-08-18,1.306,1.251333
36,2010-08-19,1.236,1.252667
37,2010-08-20,1.243333,1.273333
38,2010-08-23,1.272667,1.342
39,2010-08-24,1.283333,1.28
40,2010-08-25,1.277333,1.326667
41,2010-08-26,1.326,1.316667
42,2010-08-27,1.316667,1.313333
43,2010-08-30,1.313333,1.324667
44,2010-08-31,1.310667,1.298667
45,2010-09-01,1.308,1.363333
46,2010-09-02,1.358,1.404
47,2010-09-03,1.391333,1.403333
48,2010-09-07,1.374,1.369333
49,2010-09-08,1.377333,1.393333
50,2010-09-09,1.4,1.380667
51,2010-09-10,1.383333,1.344667
52,2010-09-13,1.392667,1.381333
53,2010-09-14,1.369333,1.408
54,2010-09-15,1.398667,1.465333
55,2010-09-16,1.476667,1.396
56,2010-09-17,1.401333,1.348667
57,2010-09-20,1.378,1.404
58,2010-09-21,1.392667,1.384667
59,2010-09-22,1.391333,1.324667
60,2010-09-23,1.326,1.304
61,2010-09-24,1.33,1.34
62,2010-09-27,1.36,1.368667
63,2010-09-28,1.402667,1.426667
64,2010-09-29,1.412667,1.465333
65,2010-09-30,1.466667,1.360667
66,2010-10-01,1.379333,1.373333
67,2010-10-04,1.362,1.399333
68,2010-10-05,1.41,1.408
69,2010-10-06,1.404,1.364
70,2010-10-07,1.371333,1.362
71,2010-10-08,1.362,1.362
72,2010-10-11,1.362667,1.349333
73,2010-10-12,1.346667,1.349333
74,2010-10-13,1.376,1.369333
75,2010-10-14,1.4,1.383333
76,2010-10-15,1.392667,1.369333
77,2010-10-18,1.368,1.348667
78,2010-10-19,1.346667,1.336667
79,2010-10-20,1.344,1.376667
80,2010-10-21,1.374,1.383333
81,2010-10-22,1.378667,1.381333
82,2010-10-25,1.396,1.39
83,2010-10-26,1.386667,1.424
84,2010-10-27,1.416667,1.4
85,2010-10-28,1.426,1.412667
86,2010-10-29,1.409333,1.456
87,2010-11-01,1.462667,1.427333
88,2010-11-02,1.445333,1.416667
89,2010-11-03,1.418667,1.451333
90,2010-11-04,1.506667,1.66
91,2010-11-05,1.658,1.629333
92,2010-11-08,1.633333,1.665333
93,2010-11-09,1.666667,1.642
94,2010-11-10,1.632,1.957333
95,2010-11-11,1.906667,1.869333
96,2010-11-12,1.883333,1.989333
97,2010-11-15,2.014667,2.053333
98,2010-11-16,2.066667,1.978
99,2010-11-17,2.013333,1.966
100,2010-11-18,2.044667,1.992667
101,2010-11-19,2.010667,2.066
102,2010-11-22,2.104667,2.226667
103,2010-11-23,2.219333,2.304667
104,2010-11-24,2.351333,2.364667
105,2010-11-26,2.373333,2.354667
106,2010-11-29,2.360667,2.288667
107,2010-11-30,2.249333,2.355333
108,2010-12-01,2.391333,2.29
109,2010-12-02,2.267333,2.156667
110,2010-12-03,2.134,2.099333
111,2010-12-06,2.09,2.020667
112,2010-12-07,2.032667,2.104
113,2010-12-08,2.165333,2.158
114,2010-12-09,2.167333,2.136667
115,2010-12-10,2.136667,2.101333
116,2010-12-13,2.109333,2.036667
117,2010-12-14,2.019333,1.902
118,2010-12-15,1.911333,1.973333
119,2010-12-16,2.0,2.054
120,2010-12-17,2.089333,2.090667
121,2010-12-20,2.109333,2.113333
122,2010-12-21,2.12,2.150667
123,2010-12-22,2.15,2.175333
124,2010-12-23,2.084,2.006
125,2010-12-27,1.868,1.703333
126,2010-12-28,1.723333,1.760667
127,2010-12-29,1.802,1.848667
128,2010-12-30,1.846667,1.766667
129,2010-12-31,1.771333,1.775333
130,2011-01-03,1.789333,1.774667
131,2011-01-04,1.777333,1.778
132,2011-01-05,1.765333,1.788667
133,2011-01-06,1.788667,1.858667
134,2011-01-07,1.866667,1.882667
135,2011-01-10,1.878,1.896667
136,2011-01-11,1.906,1.797333
137,2011-01-12,1.800667,1.797333
138,2011-01-13,1.797333,1.748
139,2011-01-14,1.743333,1.716667
140,2011-01-18,1.698667,1.709333
141,2011-01-19,1.684667,1.602
142,2011-01-20,1.602,1.508
143,2011-01-21,1.541333,1.536
144,2011-01-24,1.568667,1.632667
145,2011-01-25,1.643333,1.645333
146,2011-01-26,1.647333,1.65
147,2011-01-27,1.649333,1.661333
148,2011-01-28,1.658667,1.600667
149,2011-01-31,1.603333,1.606667
150,2011-02-01,1.620667,1.594
151,2011-02-02,1.610667,1.596
152,2011-02-03,1.588,1.575333
153,2011-02-04,1.562667,1.564
154,2011-02-07,1.550667,1.538
155,2011-02-08,1.585333,1.632667
156,2011-02-09,1.608667,1.547333
157,2011-02-10,1.550667,1.548
158,2011-02-11,1.55,1.55
159,2011-02-14,1.576,1.538667
160,2011-02-15,1.534,1.522667
161,2011-02-16,1.54,1.648667
162,2011-02-17,1.642,1.573333
163,2011-02-18,1.555333,1.545333
164,2011-02-22,1.525333,1.458
165,2011-02-23,1.478667,1.455333
166,2011-02-24,1.452,1.502
167,2011-02-25,1.520667,1.574
168,2011-02-28,1.582667,1.592667
169,2011-03-01,1.603333,1.596
170,2011-03-02,1.588,1.601333
171,2011-03-03,1.632,1.624
172,2011-03-04,1.632,1.663333
173,2011-03-07,1.662,1.662667
174,2011-03-08,1.64,1.644
175,2011-03-09,1.644,1.648
176,2011-03-10,1.629333,1.600667
177,2011-03-11,1.59,1.604667
178,2011-03-14,1.588,1.55
179,2011-03-15,1.48,1.53
180,2011-03-16,1.524,1.521333
181,2011-03-17,1.549333,1.520667
182,2011-03-18,1.546,1.530667
183,2011-03-21,1.536667,1.515333
184,2011-03-22,1.515333,1.479333
185,2011-03-23,1.474,1.480667
186,2011-03-24,1.476,1.488667
187,2011-03-25,1.495333,1.516667
188,2011-03-28,1.513333,1.55
189,2011-03-29,1.553333,1.594667
190,2011-03-30,1.607333,1.580667
191,2011-03-31,1.77,1.85
192,2011-04-01,1.83,1.777333
193,2011-04-04,1.788667,1.722
194,2011-04-05,1.726667,1.78
195,2011-04-06,1.799333,1.766
196,2011-04-07,1.79,1.816
197,2011-04-08,1.838667,1.766
198,2011-04-11,1.764667,1.684667
199,2011-04-12,1.672,1.643333
200,2011-04-13,1.675333,1.662
201,2011-04-14,1.658,1.676
202,2011-04-15,1.71,1.705333
203,2011-04-18,1.675333,1.668667
204,2011-04-19,1.684,1.677333
205,2011-04-20,1.713333,1.716667
206,2011-04-21,1.723333,1.782667
207,2011-04-25,1.78,1.759333
208,2011-04-26,1.777333,1.795333
209,2011-04-27,1.795333,1.805333
210,2011-04-28,1.804667,1.844
211,2011-04-29,1.846,1.84
212,2011-05-02,1.84,1.83
213,2011-05-03,1.825333,1.791333
214,2011-05-04,1.785333,1.779333
215,2011-05-05,1.813333,1.762667
216,2011-05-06,1.793333,1.808
217,2011-05-09,1.8,1.860667
218,2011-05-10,1.882667,1.888667
219,2011-05-11,1.88,1.804667
220,2011-05-12,1.804667,1.844667
221,2011-05-13,1.866667,1.836667
222,2011-05-16,1.866,1.773333
223,2011-05-17,1.8,1.730667
224,2011-05-18,1.74,1.756667
225,2011-05-19,1.802,1.88
226,2011-05-20,1.884,1.864667
227,2011-05-23,1.841333,1.788
228,2011-05-24,1.801333,1.781333
229,2011-05-25,1.793333,1.932
230,2011-05-26,1.921333,1.965333
231,2011-05-27,1.969333,1.97
232,2011-05-31,1.979333,2.009333
233,2011-06-01,2.0,1.901333
234,2011-06-02,1.901333,1.917333
235,2011-06-03,1.996667,2.008667
236,2011-06-06,2.006667,1.913333
237,2011-06-07,1.929333,1.891333
238,2011-06-08,1.896,1.808
239,2011-06-09,1.828667,1.841333
240,2011-06-10,1.834667,1.857333
241,2011-06-13,1.871333,1.895333
242,2011-06-14,1.902667,1.906667
243,2011-06-15,1.896,1.821333
244,2011-06-16,1.844667,1.766667
245,2011-06-17,1.791333,1.766667
246,2011-06-20,1.752667,1.734
247,2011-06-21,1.749333,1.835333
248,2011-06-22,1.824667,1.814
249,2011-06-23,1.813333,1.847333
250,2011-06-24,1.842667,1.838
251,2011-06-27,1.848667,1.830667
252,2011-06-28,1.852667,1.874
253,2011-06-29,1.9,1.886
254,2011-06-30,1.9,1.942
255,2011-07-01,1.938,1.934667
256,2011-07-05,1.934667,1.942667
257,2011-07-06,1.942667,1.930667
258,2011-07-07,1.942667,1.982
259,2011-07-08,1.992667,1.920667
